,idx,class_label,presence_terminal_loop,start_loop_upperhalf_col,highest_point_loop_upperhalf_row,highest_point_loop_upperhalf_col,loop_length,loop_width,gap_start,palindrome_score,asymmetric,large_asymmetric_bulge,largest_asym_bulge_strand_location,largest_asym_bulge_sequence_location,stem_begin,stem_end,stem_length,total_length,base_pairs_in_stem,base_pairs_wobbles_in_stem,AU_pair_begin_maturemiRNA,UGU
3157,3157,0,True,3.0,4.0,2.0,18.0,4.0,,0.5102040816326531,False,7.0,upper,25.0,48,4,44,48,0.3333333333333333,0.35555555555555557,False,False
3158,3158,1,True,3.0,6.0,0.0,14.0,4.0,,0.7407407407407407,False,2.0,lower,67.0,80,4,76,80,0.5454545454545454,0.6233766233766234,True,False
3159,3159,0,False,,,,,,13.0,0.2222222222222222,True,5.0,lower,6.0,53,0,53,53,0.05660377358490566,0.1320754716981132,False,False
3160,3160,0,True,6.0,0.0,3.0,25.0,7.0,,0.6379310344827587,False,1.0,upper,15.0,57,7,50,57,0.43137254901960786,0.5882352941176471,False,True
3161,3161,1,True,8.0,0.0,5.0,25.0,9.0,,0.8979591836734694,False,,,,48,9,39,48,0.725,0.825,True,False
3162,3162,1,True,11.0,0.0,7.0,25.0,12.0,,0.8307692307692308,False,,,,64,12,52,64,0.5849056603773585,0.660377358490566,False,False
3163,3163,1,True,5.0,2.0,3.0,22.0,6.0,,0.8823529411764706,False,,,,33,6,27,33,0.6785714285714286,0.8214285714285714,True,False
3164,3164,0,False,,,,,,7.0,0.36585365853658536,True,,,,40,0,40,40,0.075,0.125,False,False
3165,3165,1,True,7.0,2.0,4.0,22.0,8.0,,0.9375,False,,,,47,8,39,47,0.675,0.825,True,False
3166,3166,1,True,4.0,2.0,2.0,22.0,5.0,,0.7948717948717948,False,1.0,lower,37.0,38,5,33,38,0.5882352941176471,0.6176470588235294,False,False
3167,3167,1,True,2.0,4.0,1.0,18.0,3.0,,0.8243243243243243,False,,,,73,3,70,73,0.6619718309859155,0.7464788732394366,True,False
